Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
10,,2022-11-05,30-227,BRK,@,CHO,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2022-11-07,30-229,BRK,@,DAL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2022-11-09,30-231,BRK,,NYK,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2022-11-12,30-234,BRK,@,LAC,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2022-11-13,30-235,BRK,@,LAL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2022-11-15,30-237,BRK,@,SAC,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2022-11-17,30-239,BRK,@,POR,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,9,2022-11-20,30-242,BRK,,MEM,W (+12),1,26:02:00,5,12,0.417,2,5,0.4,2,2,1,0,5,5,0,1,1,4,3,14,5.6,16
18,10,2022-11-22,30-244,BRK,@,PHI,L (-9),1,30:32:00,10,18,0.556,2,8,0.25,1,1,1,0,2,2,2,1,2,2,0,23,16.8,-9
19,11,2022-11-23,30-245,BRK,@,TOR,W (+14),1,28:16:00,11,16,0.688,5,8,0.625,2,2,1,0,1,1,3,0,0,1,3,29,22.4,16
20,12,2022-11-25,30-247,BRK,@,IND,L (-11),1,38:08:00,8,17,0.471,3,9,0.333,1,1,1,0,4,4,4,0,0,1,4,20,12.7,1
21,13,2022-11-27,30-249,BRK,,POR,W (+14),1,37:57:00,8,17,0.471,4,10,0.4,2,3,0.667,1,4,5,6,0,0,0,3,22,17.8,2
22,14,2022-11-28,30-250,BRK,,ORL,W (+7),1,38:43:00,9,17,0.529,2,5,0.4,0,0,,0,2,2,3,0,1,4,5,20,9.1,6
23,15,2022-11-30,30-252,BRK,,WAS,W (+6),1,38:10:00,9,21,0.429,2,6,0.333,7,8,0.875,0,1,1,5,1,2,2,3,27,18.5,5
24,16,2022-12-02,30-254,BRK,,TOR,W (+9),1,39:14:00,10,17,0.588,2,5,0.4,5,7,0.714,1,4,5,5,2,0,4,3,27,20.5,7
25,17,2022-12-04,30-256,BRK,,BOS,L (-11),1,40:01:00,7,21,0.333,1,5,0.2,3,3,1,3,5,8,5,0,1,2,2,18,11.1,-16
26,18,2022-12-07,30-259,BRK,,CHO,W (+6),1,34:20:00,14,24,0.583,1,7,0.143,4,4,1,0,5,5,9,0,4,1,0,33,31.4,3
27,19,2022-12-09,30-261,BRK,,ATL,W (+4),1,39:21:00,11,21,0.524,5,9,0.556,6,6,1,5,6,11,3,0,0,6,2,33,23.3,13
28,,2022-12-10,30-262,BRK,@,IND,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,20,2022-12-12,30-264,BRK,@,WAS,W (+12),1,36:12:00,7,17,0.412,3,10,0.3,7,7,1,1,5,6,5,1,2,1,1,24,21.6,9
30,21,2022-12-16,30-268,BRK,@,TOR,W (+3),1,35:12:00,13,22,0.591,3,9,0.333,3,3,1,0,3,3,5,0,0,1,3,32,24,2
31,22,2022-12-18,30-270,BRK,@,DET,W (+3),1,34:23:00,13,23,0.565,5,10,0.5,7,8,0.875,1,5,6,3,1,0,4,4,38,26.4,-3
32,,2022-12-21,30-273,BRK,,GSW,W (+30),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
33,23,2022-12-23,30-275,BRK,,MIL,W (+18),1,35:17:00,6,18,0.333,3,7,0.429,3,3,1,1,8,9,6,0,0,2,2,18,12.3,21
34,24,2022-12-26,30-278,BRK,@,CLE,W (+8),1,39:30:00,11,19,0.579,7,11,0.636,3,4,0.75,0,4,4,5,0,0,3,3,32,23.2,18
